ptp,condition,hidden_pa_img_type,counterbalancing,block_2_mouse_error_mean,block_2_mouse_error_sd,block_2_rt_mean,block_2_rt_sd,rep_2_3_4_mouse_error_mean,rep_2_3_4_mouse_error_sd,rep_2_3_4_mouse_rt_mean,rep_2_3_4_mouse_rt_sd,rep_1_mouse_error_mean,rep_2_mouse_error_mean,rep_1_to_2_diff,block_2_mouse_error_mean_LOG,sse_two_param,intercept_two_param,learning_rate_two_param,sse_three_param,intercept_three_param,learning_rate_three_param,asymptote_three_param,warnMsg,warnId,fminsearch_three_param_1,fminsearch_three_param_2,fminsearch_three_param_3,fminsearch_message,errorMsg
sub_001,no_schema,all_pa,cb2,26.711227874478837,14.871905350694728,1309.3416666736205,236.37687651618754,53.24999230201313,28.104478910525753,1415.2555555635029,243.36597283309743,149.09287221499977,53.0521504958627,96.04072171913708,3.2850839966560006,2616.67323588478,129.895313025334,0.385624277581123,966.751806309482,146.869125700416,1.1551069903261,30.7777259185283,,,NA,NA,NA,,
sub_001,no_schema,far,cb2,30.22558730321263,10.944021913082578,1267.3125000149012,231.38412979959205,63.57264074707658,22.66093594572945,1443.1333333452542,230.2852463252,171.7018595040074,54.58210788839794,117.11975161560945,3.4086888273530236,4328.36000162239,147.792052728412,0.367167113521484,2369.21702247584,168.159041542292,1.16332452293548,36.4771730444023,,,NA,NA,NA,,
sub_001,no_schema,near,cb2,28.84179284787919,19.755230880601637,1404.6124999970198,294.7265824398782,62.96556524151507,28.840534956445435,1533.7666666905086,272.51623556503114,123.85129419603726,59.833706068215534,64.01758812782172,3.361825475806312,2122.03709437886,109.996338791403,0.263094460235785,1502.40480496871,120.210214510156,0.633463012178292,29.5039472601394,,,NA,NA,NA,,
sub_001,random_loc,all_pa,cb2,37.21354721880588,25.681612514242143,1413.9833333343267,341.17705165422944,68.09053888406203,57.48470928659276,1293.8888888822662,282.3926800644085,172.27184014877014,89.5653299270802,82.70651022168994,3.6166728675329183,2608.65376148548,153.139202080837,0.340022870369921,331.327458334731,172.057415512364,0.942940058992449,38.3040222299463,,,NA,NA,NA,,
sub_001,random_loc,far,cb2,58.287494378339076,27.658529147378715,1310.9000000059605,433.70858220422286,115.53672953913512,61.647736071919134,1171.1666666467984,194.84590492640277,147.2874926172631,98.24409490904165,49.04339770822145,4.065387565687325,5450.14876864018,137.629536064641,0.131627379112702,5435.0060214283,139.351623379143,0.181412283791071,24.7841719463399,,,NA,NA,NA,,
sub_001,random_loc,near,cb2,37.02610283695121,16.613744930325808,1613.7499999850988,305.2957395287869,45.24488827904274,35.28686827605611,1444.3333333333333,335.7804917815152,176.7366811127949,79.63954903098545,97.09713208180946,3.6116231459884833,4372.05919958996,166.176104262375,0.565030732657465,740.607245257974,177.871921826604,1.26735628844556,32.2330039595037,,,NA,NA,NA,,
sub_001,schema_c,all_pa,cb2,25.048311161990366,14.02452225282508,1221.0249999811251,218.13481123499557,49.11905278529999,59.17783204337446,1148.0722222394413,252.1628624216803,182.54580916078086,68.57369557299309,113.97211358778777,3.2208064065751127,2343.6099182041,172.815127469548,0.632514888672632,244.259257133014,181.962177369092,1.1962207142886,25.7811884375756,,,NA,NA,NA,,
sub_001,schema_c,far,cb2,35.1591412481841,14.52648286131558,1255.887499988079,265.14640396874694,51.48223718241907,36.74237422431476,1169.4000000158946,360.673115172305,179.69007515099412,30.217105697981527,149.47296945301258,3.5598846484056224,8906.78596767241,146.870582235361,0.400786490290651,3236.88501683338,179.690075150994,37.5220764070255,42.1547537914277,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,150,0.1,180,stats:nlinfit:IterationLimitExceeded,
sub_001,schema_c,near,cb2,21.01116929780483,12.262535295234592,1259.5999999940395,233.9743697924019,25.14719157713524,13.634289483242894,1208.7833333412807,172.27090781667192,166.16559801101187,18.280267445886516,147.88533056512534,3.045054167654043,3566.17772392857,165.400170533892,1.82473617922177,409.107756277522,166.165598011003,54.762841532838,22.7837502746613,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,150,0.1,180,stats:nlinfit:IterationLimitExceeded,
sub_001,schema_ic,all_pa,cb2,29.448167878031537,12.81172551580184,1244.320833320419,165.21012701727085,37.29422739706394,32.347285236217935,1427.2470588123097,353.92953063963614,133.25821526627192,51.367328290805865,81.89088697546606,3.3826316968901207,2521.05243985911,114.667129990357,0.411798607324972,4921.7591783928,81.1272989196568,-5.63073463406753e-4,18051.7206769201,"The Jacobian at the solution is ill-conditioned, and some model parameters may not be estimated well (they are not identifiable).  Use caution in making predictions.",stats:nlinfit:IllConditionedJacobian,150,0.1,180,stats:nlinfit:IterationLimitExceeded,
sub_001,schema_ic,far,cb2,36.089304668897256,15.677714110901917,1328.8624999970198,188.5906143502768,47.2549593193636,39.450022442098415,1109.3499999841054,80.7314746919656,102.27861283098488,63.375635710101356,38.90297712088353,3.585996551882706,1449.92768732174,89.2472869620584,0.20984568550593,950.18611240136,101.922870534946,0.766591015347492,32.3399933157396,,,NA,NA,NA,,
